",stockTicker,action,date,firm,fromGrade,toGrade"
"4,ARQL,down,2013-09-18,Citigroup,,Neutral"
"5,ARQL,down,2013-09-03,Lazard,,Neutral"
"6,ARQL,down,2013-01-14,MLV & Co.,,Hold"
"7,ARQL,main,2012-11-27,Burrill & Company,,Market Outperform"
"8,ARQL,init,2012-10-25,Citigroup,,Buy"
"9,ARQL,down,2012-10-03,RBC Capital,,Sector Perform"
"10,ARQL,init,2012-09-12,Burrill & Company,,Market Outperform"
"11,ARQL,main,2012-03-15,Stifel Nicolaus,,Buy"
"0,ARRY,main,2017-09-11,Cantor Fitzgerald,,Overweight"
"1,ARRY,up,2017-05-03,JP Morgan,,Overweight"
"2,ARRY,down,2017-02-03,JP Morgan,,Neutral"
"3,ARRY,down,2017-01-30,Leerink Swann,,Market Perform"
"4,ARRY,init,2016-11-04,Cowen & Co.,,Outperform"
"5,ARRY,main,2016-09-27,Jefferies,,Buy"
"6,ARRY,main,2016-08-29,Jefferies,,Buy"
"7,ARRY,main,2016-08-05,Stifel Nicolaus,,Buy"
"8,ARRY,init,2016-06-03,SunTrust Robinson Humphrey,,Buy"
"9,ARRY,main,2016-02-03,Stifel Nicolaus,,Buy"
"10,ARRY,main,2015-01-26,JP Morgan,,Overweight"
"11,ARRY,main,2015-01-26,Jefferies,,Buy"
"12,ARRY,main,2015-01-26,Stifel Nicolaus,,Buy"
"13,ARRY,main,2014-12-05,Jefferies,,Buy"
"14,ARRY,main,2014-08-13,Leerink Swann,,Outperform"
"15,ARRY,init,2014-05-30,Cantor Fitzgerald,,Buy"
"16,ARRY,main,2013-08-09,Stifel Nicolaus,,Buy"
"17,ARRY,main,2013-06-03,Jefferies,,Buy"
"18,ARRY,main,2013-05-07,JP Morgan,,Overweight"
"19,ARRY,up,2013-03-25,PiperJaffray,,Overweight"
"20,ARRY,init,2012-12-20,Wells Fargo,,Outperform"
"21,ARRY,init,2012-12-20,Wells Fargo,,Outperform"
"22,ARRY,up,2012-08-15,Leerink Swann,,Outperform"
"23,ARRY,main,2012-02-15,PiperJaffray,,Neutral"
"0,ARRS,down,2017-12-19,Morgan Stanley,Overweight,Equal-Weight"
"1,ARRS,main,2017-10-04,Jefferies,,Buy"
"2,ARRS,init,2017-06-15,BTIG Research,,Buy"
"3,ARRS,up,2017-03-14,Goldman Sachs,,Buy"
"4,ARRS,init,2017-02-21,Northland Securities,,Market Perform"
"5,ARRS,init,2016-09-20,Morgan Stanley,,Overweight"
"6,ARRS,main,2016-07-29,Jefferies,,Buy"
"7,ARRS,down,2016-03-14,Goldman Sachs,,Neutral"
"8,ARRS,main,2016-02-18,Barclays,,Overweight"
"9,ARRS,main,2015-09-10,Brean Capital,,Buy"
"10,ARRS,up,2015-09-09,UBS,,Buy"
"11,ARRS,init,2015-07-23,Drexel Hamilton,,Buy"
"12,ARRS,main,2015-07-14,Brean Capital,,Buy"
"13,ARRS,main,2015-06-23,Brean Capital,,Buy"
"14,ARRS,up,2015-05-05,Goldman Sachs,,Buy"
"15,ARRS,up,2015-04-30,Raymond James,,Strong Buy"
"16,ARRS,main,2015-04-20,RBC Capital,,Outperform"
"17,ARRS,up,2015-03-10,Barclays,,Overweight"
"18,ARRS,main,2015-02-19,Barclays,,Equal-Weight"
"19,ARRS,down,2015-01-23,Raymond James,,Outperform"
"20,ARRS,main,2014-10-30,Barclays,,Equal-Weight"
"21,ARRS,main,2014-10-24,Brean Capital,,Buy"
"22,ARRS,init,2014-10-08,Goldman Sachs,,Neutral"
"23,ARRS,main,2014-08-01,Raymond James,,Strong Buy"
"24,ARRS,main,2014-08-01,Barclays,,Equal-Weight"
"25,ARRS,main,2014-05-07,Brean Capital,,Buy"
"26,ARRS,up,2014-05-07,Raymond James,,Strong Buy"
"27,ARRS,main,2014-05-07,Citigroup,,Equal-Weight"
"28,ARRS,main,2014-02-12,Brean Capital,,Buy"
"29,ARRS,down,2014-01-22,Stephens & Co.,,Equal-Weight"
"30,ARRS,init,2014-01-14,National Alliance,,Buy"
"31,ARRS,up,2014-01-07,RBC Capital,,Outperform"
"32,ARRS,down,2014-01-06,Barclays,,Equal-Weight"
"33,ARRS,up,2013-12-20,Jefferies,,Buy"
"34,ARRS,init,2013-12-05,Brean Capital,,Buy"
"35,ARRS,up,2013-10-31,Stephens & Co.,,Overweight"
"36,ARRS,main,2013-10-24,Jefferies,,Hold"
"37,ARRS,init,2013-09-11,Barclays,,Overweight"
"38,ARRS,main,2013-02-07,Jefferies,,Hold"
"39,ARRS,main,2012-12-24,Citigroup,,Neutral"
"40,ARRS,down,2012-12-20,Jefferies,,Hold"
"41,ARRS,main,2012-10-25,UBS,,Neutral"
"42,ARRS,up,2012-08-06,Jefferies,,Buy"
"43,ARRS,main,2012-04-26,Citigroup,,Neutral"
"44,ARRS,main,2012-04-26,Jefferies,,Hold"
"45,ARRS,up,2012-02-09,Collins Stewart,,Buy"
"0,AROW,init,2000-03-24,CIBC Wrld Mkts,,Hold"
"1,AROW,init,1998-03-10,Keefe Bruyette,,Buy"
"0,ARWR,init,2018-01-05,B. Riley,,Neutral"
"1,ARWR,up,2017-11-27,PiperJaffray,Neutral,Overweight"
"2,ARWR,up,2017-09-18,William Blair,Market Perform,Outperform"
"3,ARWR,down,2016-11-30,Chardan Capital,,Neutral"
"4,ARWR,down,2016-11-30,Cantor Fitzgerald,,Hold"
"5,ARWR,down,2016-11-30,PiperJaffray,,Neutral"
"6,ARWR,down,2016-11-30,William Blair,,Market Perform"
"7,ARWR,main,2016-11-30,Jefferies,,Hold"
"8,ARWR,init,2016-08-18,Cantor Fitzgerald,,Buy"
"9,ARWR,init,2016-05-19,Chardan Capital,,Buy"
"10,ARWR,main,2015-09-25,PiperJaffray,,Overweight"
"11,ARWR,down,2015-04-14,Jefferies,,Hold"
"12,ARWR,down,2015-01-22,Deutsche Bank,,Hold"
"13,ARWR,down,2014-10-09,RBC Capital,,Sector Perform"
"14,ARWR,main,2014-10-08,Deutsche Bank,,Buy"
"15,ARWR,init,2014-03-05,Deutsche Bank,,Buy"
"16,ARWR,init,2014-03-05,RBC Capital,,Outperform"
"17,ARWR,init,2014-03-04,RBC Capital,,Outperform"
"18,ARWR,init,2014-03-03,Barclays,,Overweight"
"19,ARWR,init,2013-12-18,Jefferies,,Buy"
"20,ARWR,init,2013-10-21,PiperJaffray,,Overweight"
"21,ARWR,init,2013-02-26,Dawson James,,Buy"
"0,ASNS,init,2017-12-11,Cowen & Co.,,Outperform"
"1,ASNS,init,2017-12-11,PiperJaffray,,Overweight"
"0,ARTNA,down,2017-05-04,Hilliard Lyons,,Neutral"
"1,ARTNA,down,2016-03-02,Baird,,Neutral"
"2,ARTNA,down,2015-10-21,Hilliard Lyons,,Underperform"
"3,ARTNA,up,2015-03-25,Baird,,Outperform"
"4,ARTNA,up,2014-04-07,Hilliard Lyons,,Long-Term Buy"
"5,ARTNA,down,2012-11-05,Hilliard Lyons,,Neutral"
"6,ARTNA,up,2012-08-08,Hilliard Lyons,,Long-Term Buy"
"7,ARTNA,main,2012-05-10,HIlliard Lyons,,Long-Term Buy"
"8,ARTNA,main,2012-03-16,Hilliard Lyons,,Long-Term Buy"
"0,ASNA,main,2017-08-15,FBR Capital,,Neutral"
"1,ASNA,down,2017-03-21,KeyBanc,,Sector Weight"
"2,ASNA,init,2017-03-09,Guggenheim,,Neutral"
"3,ASNA,down,2017-03-07,Citigroup,,Sell"
"4,ASNA,init,2016-12-15,Goldman Sachs,,Neutral"
"5,ASNA,main,2016-09-21,Citigroup,,Neutral"
"6,ASNA,main,2016-09-20,Citigroup,,Neutral"
"7,ASNA,down,2016-09-20,Oppenheimer,,Market Perform"
"8,ASNA,down,2016-09-20,RBC Capital,,Sector Perform"
"9,ASNA,up,2016-02-11,Goldman Sachs,,Neutral"
"10,ASNA,init,2015-10-07,Citigroup,,Neutral"
"11,ASNA,main,2015-07-13,PiperJaffray,,Overweight"
"12,ASNA,up,2015-06-12,RBC Capital,,Outperform"
"13,ASNA,up,2015-05-19,FBR Capital,,Outperform"
"14,ASNA,init,2015-05-04,RBC Capital,,Sector Perform"
"15,ASNA,init,2015-04-15,Guggenheim,,Buy"
"16,ASNA,up,2015-02-13,KeyBanc,,Buy"
"17,ASNA,down,2014-09-24,Goldman Sachs,,Neutral"
"18,ASNA,main,2014-09-23,Citigroup,,Neutral"
"19,ASNA,main,2014-06-04,Citigroup,,Neutral"
"20,ASNA,up,2014-05-12,Avondale Partners,,Market Outperform"
"21,ASNA,up,2014-01-02,Goldman Sachs,,Buy"
"22,ASNA,up,2013-09-25,FBR Capital,,Market Perform"
"23,ASNA,init,2013-08-01,FBR Capital,,Underperform"
"24,ASNA,init,2013-07-31,FBR Capital,,Underperform"
"25,ASNA,init,2013-06-19,Oppenheimer,,Outperform"
"26,ASNA,main,2013-03-06,JP Morgan,,Neutral"
"27,ASNA,main,2013-03-05,Citigroup,,Neutral"
"28,ASNA,down,2013-02-25,KeyBanc,,Hold"
"29,ASNA,main,2013-01-14,JP Morgan,,Neutral"
"30,ASNA,down,2013-01-11,Avondale Partners,,Perform"
"31,ASNA,main,2013-01-10,Citigroup,,Neutral"
"32,ASNA,main,2013-01-10,PiperJaffray,,Overweight"
"33,ASNA,down,2013-01-02,Citigroup,,Neutral"
"34,ASNA,down,2012-12-06,BB&T Capital,,Hold"
"35,ASNA,init,2012-09-13,Citigroup,,Buy"
"36,ASNA,main,2012-08-30,PiperJaffray,,Overweight"
"0,ASND,main,2017-11-17,Bank of America,,Buy"
"1,ASND,main,2017-09-22,Credit Suisse,,Outperform"
"2,ASND,init,2017-05-11,JP Morgan,,Overweight"
"3,ASND,reit,2017-03-24,Wedbush,,Outperform"
"4,ASND,down,2017-03-09,Leerink Swann,,Market Perform"
"5,ASND,init,2017-02-09,Credit Suisse,,Outperform"
"6,ASND,init,2016-09-26,Wedbush,,Outperform"
"7,ASND,init,2015-02-23,Bank of America,,Buy"
"8,ASND,init,2015-02-23,Wells Fargo,,Outperform"
"9,ASND,init,2015-02-23,Leerink Swann,,Outperform"
"0,ASCMA,up,2017-11-03,Imperial Capital,In-Line,Outperform"
"1,ASCMA,down,2017-08-11,Imperial Capital,Outperform,In-Line"
"2,ASCMA,main,2017-05-11,Imperial Capital,,Outperform"
"3,ASCMA,up,2016-11-09,Imperial Capital,,Outperform"
"4,ASCMA,init,2016-06-16,BB&T Capital,,Hold"
"5,ASCMA,main,2016-03-03,Imperial Capital,,Outperform"
"6,ASCMA,main,2015-11-10,PiperJaffray,,Overweight"
"7,ASCMA,main,2014-11-11,Imperial Capital,,Outperform"
"8,ASCMA,main,2014-01-24,Imperial Capital,,Outperform"
"9,ASCMA,up,2013-08-26,Imperial Capital,,Outperform"
"10,ASCMA,down,2013-07-12,Imperial Capital,,In-Line"
"11,ASCMA,init,2013-04-16,PiperJaffray,,Overweight"
"12,ASCMA,init,2013-03-20,Imperial Capital,,Outperform"
"13,ASCMA,main,2013-02-21,Imperial Capital,,Outperform"
"14,ASCMA,init,2013-01-08,Stifel Nicolaus,,Hold"
"15,ASCMA,init,2013-01-07,Stifel Nicolaus,,Hold"
"16,ASCMA,main,2012-11-12,Imperial Capital,,Outperform"
"0,ASML,main,2017-10-19,B. Riley,,Neutral"
"1,ASML,main,2017-10-19,Credit Suisse,,Neutral"
"2,ASML,up,2017-09-18,Susquehanna,Neutral,Positive"
"3,ASML,up,2017-03-10,UBS,,Buy"
"4,ASML,down,2017-01-19,Citigroup,,Neutral"
"5,ASML,up,2016-12-19,Bank of America,,Buy"
"6,ASML,down,2016-08-17,Bank of America,,Neutral"
"7,ASML,down,2016-07-21,UBS,,Neutral"
"8,ASML,main,2016-04-21,Credit Suisse,,Neutral"
"9,ASML,down,2016-04-19,Susquehanna,,Neutral"
"10,ASML,main,2016-04-19,Summit Research Partners,,Hold"
"11,ASML,down,2016-03-31,Exane BNP Paribas,,Underperform"
"12,ASML,init,2016-03-17,RBC Capital,,Sector Perform"
"13,ASML,up,2016-01-22,Deutsche Bank,,Hold"
"14,ASML,main,2016-01-21,B. Riley,,Neutral"
"15,ASML,up,2015-08-28,Berenberg,,Buy"
"16,ASML,up,2015-07-21,SNS Securities,,Accumulate"
"17,ASML,main,2015-07-10,Susquehanna,,Positive"
"18,ASML,down,2015-07-02,Liberum,,Sell"
"19,ASML,up,2015-04-16,Citigroup,,Buy"
"20,ASML,down,2015-04-15,Summit Research Partners,,Hold"
"21,ASML,down,2015-03-26,Deutsche Bank,,Sell"
"22,ASML,main,2015-03-19,JP Morgan,,Overweight"
"23,ASML,down,2015-03-06,Pacific Crest,,Sector Perform"
"24,ASML,main,2014-11-20,JP Morgan,,Overweight"
"25,ASML,init,2014-08-27,Stifel Nicolaus,,Hold"
"26,ASML,up,2014-07-21,Pacific Crest,,Outperform"
"27,ASML,main,2014-04-17,Northland Securities,,Outperform"
"28,ASML,main,2014-04-17,Credit Suisse,,Neutral"
"29,ASML,up,2014-04-16,ISI Group,,Neutral"
"30,ASML,init,2014-04-10,ISI Group,,Cautious"
"31,ASML,up,2014-01-23,LBBW Research,,Buy"
"32,ASML,up,2014-01-22,Commerzbank,,Hold"
"33,ASML,down,2014-01-14,Credit Suisse,,Neutral"
"34,ASML,up,2013-11-26,Societe Generale,,Buy"
"35,ASML,down,2013-10-18,Baader Bank,,Sell"
"36,ASML,down,2013-10-17,Morgan Stanley,,Equal-weight"
"37,ASML,down,2013-10-10,Susquehanna,,Neutral"
"38,ASML,init,2013-07-23,Berenberg,,Hold"
"39,ASML,up,2013-07-08,Redburn Partners,,Buy"
"40,ASML,up,2013-04-18,Deutsche Bank,,Buy"
"41,ASML,down,2013-03-04,RBC Capital,,Underperform"
"42,ASML,up,2013-01-30,Citigroup,,Buy"
"43,ASML,up,2013-01-28,Citigroup,,Buy"
"44,ASML,up,2013-01-22,Deutsche Bank,,Hold"
"45,ASML,up,2013-01-17,Bank of America,,Buy"
"46,ASML,down,2013-01-07,Bank of America,,Neutral"
"47,ASML,down,2012-12-14,Caris & Co.,,Average"
"48,ASML,down,2012-12-14,Pacific Crest,,Sector Perform"
"49,ASML,down,2012-10-18,RBC Capital,,Sector Perform"
"50,ASML,init,2012-10-09,CLSA,,Outperform"
"51,ASML,init,2012-09-19,JP Morgan,,Overweight"
"52,ASML,down,2012-08-28,Deutsche Bank,,Sell"
"53,ASML,init,2012-06-21,Bernstein,,Outperform"
"0,ASPU,init,2017-10-06,Roth Capital,,Buy"
"0,AZPN,init,2017-11-06,Bank of America,,Neutral"
"1,AZPN,main,2017-10-27,Canaccord Genuity,,Hold"
"2,AZPN,init,2017-08-23,Berenberg,,Buy"
"3,AZPN,init,2017-05-10,Baird,,Neutral"
"4,AZPN,main,2016-11-22,Pacific Crest,,Overweight"
"5,AZPN,down,2016-08-12,Avondale Partners,,Underperform"
"6,AZPN,main,2016-04-26,Benchmark,,Hold"
"7,AZPN,init,2016-02-09,Avondale Partners,,Market Perform"
"8,AZPN,down,2016-01-13,Benchmark,,Hold"
"9,AZPN,up,2015-05-15,Pacific Crest,,Overweight"
"10,AZPN,main,2015-04-29,JP Morgan,,Underweight"
"11,AZPN,main,2015-04-29,Canaccord Genuity,,Buy"
"12,AZPN,init,2015-03-19,Evercore ISI Group,,Buy"
"13,AZPN,down,2015-01-22,JP Morgan,,Underweight"
"14,AZPN,down,2014-10-29,Canaccord Genuity,,Hold"
"15,AZPN,down,2014-05-19,Summit Research Partners,,Hold"
"16,AZPN,main,2014-04-30,JP Morgan,,Neutral"
"17,AZPN,up,2014-04-30,Summit Research Partners,,Buy"
"18,AZPN,main,2014-01-31,JP Morgan,,Neutral"
"19,AZPN,up,2013-11-08,UBS,,Buy"
"20,AZPN,down,2013-10-18,JP Morgan,,Neutral"
"21,AZPN,main,2013-08-16,Benchmark,,Buy"
"22,AZPN,main,2013-01-30,Deutsche Bank,,Buy"
"23,AZPN,main,2013-01-30,Canaccord Genuity,,Buy"
"24,AZPN,main,2013-01-03,Benchmark,,Buy"
"25,AZPN,main,2012-11-02,Canaccord Genuity,,Buy"
"26,AZPN,main,2012-11-02,Deutsche Bank,,Buy"
"27,AZPN,main,2012-08-22,Benchmark,,Buy"
"28,AZPN,main,2012-08-22,Canaccord Genuity,,Buy"
"29,AZPN,main,2012-08-22,Deutsche Bank,,Buy"
"30,AZPN,main,2012-05-03,Deutsche Bank,,Buy"
"0,ASMB,init,2018-01-05,B. Riley,,Neutral"
"1,ASMB,init,2017-11-08,Jefferies,,Buy"
"0,ASFI,init,2008-05-30,Keefe Bruyette,,Mkt Perform"
"1,ASFI,down,2007-12-18,Kaufman Bros,Buy,Hold"
"2,ASFI,init,2007-06-29,Kaufman Bros,,Buy"
"3,ASFI,down,2006-12-15,""Ryan, Beck & Co"",Outperform,Mkt Perform"
"4,ASFI,init,2006-06-06,Sun Trust Rbsn Humphrey,,Reduce"
"5,ASFI,init,2004-09-01,Stephens Inc,,Overweight"
"6,ASFI,init,2003-02-25,Brean Murray,,Strong Buy"
"0,ASTE,up,2018-01-02,William Blair,Market Perform,Outperform"
"1,ASTE,up,2017-10-03,Baird,Neutral,Outperform"
"2,ASTE,down,2017-07-26,Dougherty,Buy,Neutral"
"3,ASTE,init,2016-12-20,Dougherty,,Buy"
"4,ASTE,down,2016-07-19,Baird,,Underweight"
"5,ASTE,down,2016-07-12,BB&T Capital,,Hold"
"6,ASTE,down,2016-07-06,Seaport Global,,Neutral"
"7,ASTE,up,2015-09-28,Seaport Global,,Accumulate"
"8,ASTE,up,2015-08-31,Stifel Nicolaus,,Buy"
"9,ASTE,init,2015-06-17,Maxim Group,,Buy"
"10,ASTE,up,2014-03-10,Baird,,Outperform"
"11,ASTE,init,2013-06-12,Stifel Nicolaus,,Hold"
"12,ASTE,init,2013-06-11,Stifel Nicolaus,,Hold"
"13,ASTE,down,2013-02-05,Sterne Agee,,Neutral"
"14,ASTE,main,2012-10-31,Sterne Agee,,Buy"
"15,ASTE,main,2012-07-25,Barrington Research,,Outperform"
"0,ATRO,main,2017-08-03,Canaccord Genuity,,Buy"
"1,ATRO,init,2017-01-19,SunTrust Robinson Humphrey,,Hold"
"2,ATRO,main,2016-09-26,Canaccord Genuity,,Buy"
"3,ATRO,up,2016-02-18,KeyBanc,,Overweight"
"4,ATRO,main,2015-11-11,Canaccord Genuity,,Buy"
"5,ATRO,init,2015-08-27,CL King,,Buy"
"6,ATRO,main,2015-04-10,DA Davidson,,Buy"
"7,ATRO,main,2015-04-07,Canaccord Genuity,,Buy"
"8,ATRO,down,2015-03-23,Sidoti & Co.,,Neutral"
"9,ATRO,init,2014-09-05,DA Davidson,,Buy"
"10,ATRO,init,2014-08-07,Canaccord Genuity,,Buy"
"11,ATRO,main,2013-03-21,Topeka,,Buy"
"12,ATRO,up,2013-02-11,KeyBanc,,Buy"
"13,ATRO,init,2012-10-19,KeyBanc,,Hold"
"14,ATRO,init,2012-09-27,Topeka,,Buy"
"15,ATRO,up,2012-05-03,Dougherty,,Buy"
"0,ALOT,main,2015-09-21,Singular Research,,Buy"
"0,ASTC,init,2016-10-28,Chardan Capital,,Buy"
"0,ASUR,init,2017-10-31,Dougherty,,Buy"
"1,ASUR,init,2017-09-06,Cowen & Co.,,Outperform"
"2,ASUR,init,2017-05-08,Canaccord Genuity,,Buy"
"3,ASUR,init,2016-10-28,Wunderlich,,Buy"
"4,ASUR,init,2016-10-21,Roth Capital,,Buy"
"5,ASUR,init,2016-10-17,Lake Street,,Buy"
"6,ASUR,init,2015-07-08,Northland Securities,,Outperform"
"7,ASUR,init,2013-11-26,Barrington Research,,Outperform"
"8,ASUR,main,2012-08-17,Redchip Research,,Strong Buy"
"0,ASV,init,2017-11-21,Barrington Research,,Outperform"
"1,ASV,init,2017-06-07,Seaport Global,,Buy"
"0,ATAI,main,2012-11-08,Oppenheimer,,Outperform"
"1,ATAI,main,2012-08-08,PiperJaffray,,Overweight"
"2,ATAI,main,2012-05-24,PiperJaffray,,Overweight"
"0,ATRA,up,2018-01-03,Citigroup,Sell,Neutral"
"1,ATRA,down,2016-09-15,Goldman Sachs,,Sell"
"2,ATRA,main,2016-08-22,Citigroup,,Sell"
"3,ATRA,main,2016-08-19,Citigroup,,Sell"
"4,ATRA,main,2016-03-09,JMP Securities,,Market Outperform"
"5,ATRA,main,2015-12-15,JMP Securities,,Market Outperform"
"6,ATRA,down,2015-12-15,Citigroup,,Sell"
"7,ATRA,init,2015-09-25,JMP Securities,,Market Perform"
"8,ATRA,init,2015-09-09,Canaccord Genuity,,Buy"
"9,ATRA,main,2015-06-04,Jefferies,,Buy"
"10,ATRA,main,2015-05-08,Jefferies,,Buy"
"11,ATRA,init,2014-11-10,Citigroup,,Buy"
"12,ATRA,init,2014-11-10,Jefferies,,Buy"
"13,ATRA,init,2014-11-10,Goldman Sachs,,Neutral"
"0,ATHN,init,2018-01-19,Evercore ISI Group,,In-Line"
"1,ATHN,init,2017-12-08,Deutsche Bank,,Hold"
"2,ATHN,main,2017-10-23,Canaccord Genuity,,Hold"
"3,ATHN,up,2017-10-23,First Analysis,Underweight,Equal-Weight"
"4,ATHN,main,2017-10-23,Wells Fargo,,Outperform"
"5,ATHN,main,2017-10-23,Baird,,Outperform"
"6,ATHN,main,2017-10-23,Leerink Swann,,Market Perform"
"7,ATHN,main,2017-10-20,KeyBanc,,Overweight"
"8,ATHN,main,2017-10-13,Jefferies,,Hold"
"9,ATHN,init,2017-09-19,RBC Capital,,Sector Perform"
"10,ATHN,main,2017-09-15,Jefferies,,Hold"
"11,ATHN,down,2017-07-31,Cowen & Co.,Outperform,Market Perform"
"12,ATHN,down,2017-07-24,First Analysis,Equal-Weight,Underweight"
"13,ATHN,init,2017-07-07,Argus,,Hold"
"14,ATHN,down,2017-06-13,Cantor Fitzgerald,,Neutral"
"15,ATHN,up,2017-05-19,Jefferies,,Hold"
"16,ATHN,init,2017-02-07,Berenberg,,Buy"
"17,ATHN,init,2017-01-06,Cantor Fitzgerald,,Overweight"
"18,ATHN,up,2017-01-03,KeyBanc,,Overweight"
"19,ATHN,init,2016-12-02,Dougherty,,Buy"
"20,ATHN,main,2016-11-23,Barclays,,Underweight"
"21,ATHN,down,2016-10-28,JP Morgan,,Neutral"
"22,ATHN,down,2016-10-26,Morgan Stanley,,Equal-Weight"
"23,ATHN,up,2016-10-10,Evercore ISI Group,,Buy"
"24,ATHN,init,2016-10-06,UBS,,Neutral"
"25,ATHN,main,2016-07-25,Morgan Stanley,,Overweight"
"26,ATHN,down,2016-07-22,Deutsche Bank,,Hold"
"27,ATHN,up,2016-02-08,Topeka,,Buy"
"28,ATHN,main,2016-02-08,Leerink Swann,,Market Perform"
"29,ATHN,down,2015-11-17,Barclays,,Underweight"
"30,ATHN,main,2015-10-26,Barclays,,Equal-Weight"
"31,ATHN,init,2015-10-21,Avondale Partners,,Market Perform"
"32,ATHN,init,2015-07-16,Canaccord Genuity,,Hold"
"33,ATHN,init,2015-06-18,Oppenheimer,,Outperform"
"34,ATHN,init,2015-03-19,Baird,,Outperform"
"35,ATHN,up,2015-02-04,Compass Point,,Outperform"
"36,ATHN,main,2015-01-15,Stifel Nicolaus,,Buy"
"37,ATHN,main,2015-01-08,JP Morgan,,Overweight"
"38,ATHN,main,2014-12-12,Citigroup,,Buy"
"39,ATHN,main,2014-12-09,JP Morgan,,Overweight"
"40,ATHN,main,2014-10-20,Barclays,,Equal-Weight"
"41,ATHN,main,2014-07-21,Citigroup,,Buy"
"42,ATHN,main,2014-07-21,Barclays,,Equal-Weight"
"43,ATHN,main,2014-07-21,JP Morgan,,Overweight"
"44,ATHN,init,2014-06-17,Stifel,,Buy"
"45,ATHN,up,2014-04-23,Morgan Stanley,,Overweight"
"46,ATHN,up,2014-04-22,SunTrust Robinson Humphrey,,Buy"
"47,ATHN,main,2014-04-22,Citigroup,,Buy"
"48,ATHN,up,2014-04-21,Jefferies,,Hold"
"49,ATHN,main,2014-04-21,Deutsche Bank,,Buy"
"50,ATHN,up,2014-04-21,Jefferies,,Hold"
"51,ATHN,init,2014-03-26,SunTrust Robinson Humphrey,,Neutral"
"52,ATHN,down,2014-03-10,Oppenheimer,,Underperform"
"53,ATHN,init,2014-03-05,Barclays,,Equal-Weight"
"54,ATHN,init,2014-02-18,Citigroup,,Buy"
"55,ATHN,up,2014-02-18,Baird,,Outperform"
"56,ATHN,up,2014-02-13,Cowen & Co.,,Market Perform"
"57,ATHN,init,2014-02-13,RBC Capital,,Sector Perform"
"58,ATHN,up,2013-12-13,Raymond James,,Strong Buy"
"59,ATHN,up,2013-12-13,Leerink Swann,,Outperform"
"60,ATHN,init,2013-12-09,JP Morgan,,Overweight"
"61,ATHN,init,2013-11-20,Deutsche Bank,,Buy"
"62,ATHN,down,2013-10-22,Raymond James,,Market Perform"
"63,ATHN,up,2013-10-18,Sterne Agee,,Buy"
"64,ATHN,down,2013-09-24,Leerink Swann,,Market Perform"
"65,ATHN,init,2013-09-10,Stephens & Co.,,Overweight"
"66,ATHN,init,2013-08-14,KeyBanc,,Hold"
"67,ATHN,down,2013-08-13,Cowen & Co.,,Underperform"
"68,ATHN,down,2013-07-19,Lazard,,Neutral"
"69,ATHN,down,2013-07-17,Raymond James,,Outperform"
"70,ATHN,main,2013-07-12,PiperJaffray,,Overweight"
"71,ATHN,init,2013-06-11,Sterne Agee,,Neutral"
"72,ATHN,up,2013-05-29,Raymond James,,Strong Buy"
"73,ATHN,down,2013-01-31,Raymond James,,Outperform"
"74,ATHN,main,2013-01-14,Sterne Agee,,Neutral"
"75,ATHN,main,2013-01-08,ISI Group,,Neutral"
"76,ATHN,up,2012-12-10,Sterne Agee,,Neutral"
"77,ATHN,main,2012-12-03,ISI Group,,"
"78,ATHN,down,2012-12-03,Goldman Sachs,,Hold"
"79,ATHN,init,2012-11-27,JMP Securities,,Market Outperform"
"80,ATHN,up,2012-11-19,Raymond James,,Strong Buy"
"81,ATHN,main,2012-10-23,Citigroup,,Buy"
"82,ATHN,down,2012-10-19,Jefferies,,Underperform"
"83,ATHN,down,2012-08-20,First Analysis,,Equal-Weight"
"84,ATHN,main,2012-07-23,Jefferies,,Hold"
"85,ATHN,down,2012-07-23,ISI Group,,Market Weight"
"86,ATHN,main,2012-07-20,UBS,,Sell"
"87,ATHN,main,2012-07-20,PiperJaffray,,Overweight"
"88,ATHN,up,2012-07-19,Citigroup,,Buy"
"89,ATHN,main,2012-07-18,PiperJaffray,,Overweight"
"90,ATHN,init,2012-07-12,ISI Group,,Overweight"
"91,ATHN,up,2012-05-03,Morgan Stanley,,Equal-Weight"
"92,ATHN,main,2012-05-02,Goldman Sachs,,Neutral"
"93,ATHN,main,2012-04-27,Jefferies,,Hold"
"94,ATHN,main,2012-04-27,PiperJaffray,,Overweight"
"95,ATHN,down,2012-02-28,Sterne Agee,,Neutral"
"96,ATHN,main,2012-02-17,Auriga,,Hold"
"97,ATHN,main,2012-02-16,Jefferies,,Hold"
"98,ATHN,main,2012-02-16,UBS,,Sell"
"0,ATNX,init,2017-09-19,Laidlaw & Co.,,Buy"
"1,ATNX,init,2017-09-15,RBC Capital,,Outperform"
"2,ATNX,init,2017-07-10,Deutsche Bank,,Buy"
"0,ATHX,init,2017-03-28,William Blair,,Outperform"
"1,ATHX,init,2017-02-07,Needham,,Buy"
"2,ATHX,down,2015-07-09,PiperJaffray,,Neutral"
"3,ATHX,init,2014-04-29,First Analysis,,Overweight"
"4,ATHX,main,2013-12-19,Maxim Group,,Buy"
"5,ATHX,init,2012-03-20,PiperJaffray,,Overweight"
"0,ACBI,down,2017-01-30,Sandler O'Neill,,Hold"
"1,ACBI,main,2016-08-01,SunTrust Robinson Humphrey,,Neutral"
"2,ACBI,down,2016-07-29,Raymond James,,Market Perform"
