",stockTicker,action,date,firm,fromGrade,toGrade"
"20,CAFD,init,2015-10-14,Oppenheimer,,Outperform"
"21,CAFD,init,2015-10-13,Oppenheimer,,Outperform"
"22,CAFD,main,2015-10-02,UBS,,Neutral"
"23,CAFD,main,2015-09-28,Deutsche Bank,,Buy"
"24,CAFD,up,2015-08-12,Raymond James,,Strong Buy"
"25,CAFD,init,2015-07-14,Citigroup,,Neutral"
"26,CAFD,init,2015-07-14,Baird,,Outperform"
"27,CAFD,init,2015-07-14,Mizuho,,Buy"
"28,CAFD,init,2015-07-14,Deutsche Bank,,Buy"
"29,CAFD,init,2015-07-08,Roth Capital,,Buy"
"30,CAFD,init,2015-06-30,Raymond James,,Outperform"
"31,CAFD,init,2015-06-29,UBS,,Neutral"
"0,EGHT,up,2018-01-17,Morgan Stanley,Equal-Weight,Overweight"
"1,EGHT,down,2017-10-27,Summit Redstone Partners,Buy,Hold"
"2,EGHT,down,2017-07-28,Craig-Hallum,Buy,Hold"
"3,EGHT,init,2017-04-11,Morgan Stanley,,Equal-Weight"
"4,EGHT,up,2016-12-12,Baird,,Outperform"
"5,EGHT,init,2016-08-25,Baird,,Neutral"
"6,EGHT,init,2016-08-25,Baird,,Neutral"
"7,EGHT,init,2016-06-03,Needham,,Buy"
"8,EGHT,main,2016-05-20,Barclays,,Overweight"
"9,EGHT,init,2016-01-25,Summit Research Partners,,Buy"
"10,EGHT,main,2016-01-22,B. Riley,,Neutral"
"11,EGHT,main,2016-01-22,Barclays,,Overweight"
"12,EGHT,init,2015-08-10,Canaccord Genuity,,Buy"
"13,EGHT,down,2015-06-05,B. Riley,,Neutral"
"14,EGHT,up,2014-10-14,B. Riley,,Buy"
"15,EGHT,main,2014-08-27,Barclays,,Overweight"
"16,EGHT,main,2014-05-23,B. Riley,,Neutral"
"17,EGHT,main,2014-01-21,Barclays,,Overweight"
"18,EGHT,init,2013-11-25,Barclays,,Overweight"
"19,EGHT,init,2013-11-25,Deutsche Bank,,Buy"
"20,EGHT,init,2013-11-25,Bank of America,,Buy"
"21,EGHT,down,2013-01-25,Northland Securities,,Market Perform"
"0,AVHI,down,2017-07-19,JMP Securities,,Market Perform"
"1,AVHI,init,2016-12-05,Wedbush,,Neutral"
"2,AVHI,init,2016-03-08,Sidoti & Co.,,Buy"
"3,AVHI,main,2016-01-25,JMP Securities,,Market Outperform"
"4,AVHI,up,2015-11-02,Sterne Agee CRT,,Buy"
"5,AVHI,main,2015-06-12,JMP Securities,,Market Outperform"
"6,AVHI,init,2014-10-13,JMP Securities,,Outperform"
"7,AVHI,init,2014-02-20,Sterne Agee,,Neutral"
"0,SHLM,up,2017-08-25,Longbow Research,Neutral,Buy"
"1,SHLM,down,2016-10-28,Northcoast Research,,Neutral"
"2,SHLM,up,2016-10-04,Gabelli & Co.,,Buy"
"3,SHLM,main,2016-09-30,SunTrust Robinson Humphrey,,Neutral"
"4,SHLM,up,2016-08-26,Northcoast Research,,Buy"
"5,SHLM,down,2016-08-15,Gabelli & Co.,,Hold"
"6,SHLM,down,2016-08-11,Longbow Research,,Neutral"
"7,SHLM,down,2016-03-14,KeyBanc,,Sector Weight"
"8,SHLM,up,2016-01-12,Seaport Global,,Buy"
"9,SHLM,up,2016-01-06,Longbow Research,,Buy"
"10,SHLM,main,2015-09-22,KeyBanc,,Overweight"
"11,SHLM,up,2015-08-13,Seaport Global,,Buy"
